#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.016	0.65255278796308|0.742627386521684|0.892289796434442|0.945201668984701|0.94653685674548
5Z	10|2|0.4|0.08|0.016	0.678497913769124|0.742607156404097|0.868286761916804|0.981140472878999|1.00594259704135
5Z	10|2|0.4|0.08|0.016	0.643633684883852|0.746650308163784|0.852477238349154|1.00601646860819|1.0544837765072
5Z	10|2|0.4|0.08|0.016	0.71497143815883|0.784128057716154|0.905684317596139|0.937887498590914|0.986543558446257
AK	10|2|0.4|0.08|0.016	1.05309329972229|1.09076303947448|1.10607826194949|1.06815485391614|1.0961323514257
AK	10|2|0.4|0.08|0.016	1.10843526306193|1.08803610545202|1.13587371547403|1.12584324885651|1.04524015251805
AK	10|2|0.4|0.08|0.016	1.04804052873697|1.04651593675061|1.00667538366251|1.04119045224269|1.06927894210256
AK	10|2|0.4|0.08|0.016	1.10418574612367|1.04678062285935|1.05141792348454|1.05279429125001|1.0778865343589
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.63002162285194|0.65284913689014|0.90811536998948|0.988267035282166|1.06754157333311
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.622937987659153|0.668171106429398|0.939802979456903|1.06187910632947|1.06028029211668
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.581069139810381|0.63363160055575|0.886307712804283|0.994782362809313|0.986070893523768
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.584190477744154|0.639189104681735|0.865361033848028|0.966733824373081|1.02647427479193
BI	10|2|0.4|0.08|0.016	1.01809361735422|1.0623789683704|1.00527299705752|1.01977024598936|0.973349987844442
BI	10|2|0.4|0.08|0.016	1.0297294200821|1.03820198345168|1.02051914011306|0.927835109162496|0.955164155915286
BI	10|2|0.4|0.08|0.016	1.13395335187769|1.1868640985536|1.12883335986988|1.01696777839176|1.04642646411479
BI	10|2|0.4|0.08|0.016	1.09797604218374|1.16373672002073|1.1173071339596|1.0608248806636|1.0011207787383
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.683822587802241|0.948862807229669|1.10422505010677|1.03901626943592|1.03655039117525
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.664619709753025|0.923715613953059|1.09029938978447|1.09283674277733|1.08288984254712
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.632504334962228|0.905867659362912|1.0291382216348|1.04259782463714|0.914719470346433
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.665025646000315|0.864591543489069|1.14064678849022|0.962106973529447|0.898846839418448
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.794274925391315|0.771910591388026|0.965795724465558|1.06598453011755|1.02646933430781
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.846519276448017|0.767062549485352|0.927730068822705|1.08242889335526|1.09418356781777
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.833057851239669|0.788693072762171|0.982205231515997|1.00269983026919|0.955289414825272
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.820837232911914|0.76133310068051|0.946076363001856|0.993842102758522|1.07889151504576
CT	10|2|0.4|0.08|0.016	0.68279681375648|0.962215197875838|0.986643064862815|0.916130990011379|0.924749020103679
CT	10|2|0.4|0.08|0.016	0.752398533316475|0.900462763939815|1.00479959539765|0.939830572765204|0.985348337337211
CT	10|2|0.4|0.08|0.016	0.729421449038283|0.894254338018052|1.02444075679048|0.899948355367503|0.955189761254991
CT	10|2|0.4|0.08|0.016	0.666420240501451|0.89650887527428|1.01147978912212|0.80362194031768|0.897022700044304
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.660827011444139|0.7421382650675|0.867968302034367|0.985437855234683|1.04852727066141
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.665562152692451|0.729359725404086|0.871065168966857|0.940749959703737|1.0047800616731
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.603823126154693|0.713445524951959|0.870319687882141|0.9302869726791|0.964346781152232
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.632493925453804|0.698485466085769|0.873612383074912|0.872955961525227|0.991016553469241
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.649995697635365|0.778866784912301|1.01961045557878|1.01440320651073|1.04580214118973
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.600665617444839|0.846583228549937|0.898633513477504|0.994462440356735|0.97132404577716
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.606355239796515|0.757919579326302|0.915867979368718|0.908842250082248|0.9454826246428
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.619982544434203|0.780551998281633|0.880956847774959|0.915465576917325|0.944221038578976
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.859093335121737|0.891932901322022|1.09100460793437|0.899399487510514|0.992284713897295
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.755734768527445|0.874987774582869|0.961501812156117|0.954001693394921|1.04477436770143
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.869961568840478|1.0924564410436|1.08456416068033|1.01299666263936|1.02404835270501
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.904015759585156|0.988508115499527|0.932862543824322|1.14268231386175|1.12893326215296
PD	10|2|0.4|0.08|0.016	0.761551359062251|0.764636685001921|0.762992766161479|0.763552651563659|0.948386309015048
PD	10|2|0.4|0.08|0.016	0.641116435316856|0.766363991029921|0.794060449754752|0.771176622997591|0.895447357370683
PD	10|2|0.4|0.08|0.016	0.718330524196971|0.736458548060483|0.734870072390838|0.766469825025161|0.834919788041567
PD	10|2|0.4|0.08|0.016	0.682971783336769|0.777613406249621|0.718548788029441|0.756490317573876|0.83307667123404
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.770997015652598|0.629989646141665|0.717424934527072|0.745075826786041|0.831451367318351
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.716462634752421|0.665813995980267|0.722882026920032|0.794494183567818|0.801157195931543
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.720039339477483|0.636081280436541|0.719709395472788|0.758655478180866|0.855265620786472
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.695801145286401|0.662717913738678|0.658796656144414|0.752373851937628|0.854364619850573
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0906147020642235|0.567254882380633|0.724147277421932|0.817481942205547|0.852755864325216
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.111794271910679|0.530877758598553|0.797652843359629|0.831319514781476|0.882009729097419
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.103288252786794|0.557615557195052|0.795918829836255|0.836166500059173|0.818872894009936
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.119413508048779|0.662696624120904|0.760918666166425|0.848101807670324|0.936876323522376
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.440189574380737|0.698296405520103|0.739116598932612|0.815480774135875|0.89620778362674
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.484041403200222|0.714766347875305|0.758579309574186|0.823390233178432|0.900658068935697
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.407366587614765|0.67189852491119|0.730646224697651|0.84106631503331|0.889697995493058
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.419047244171972|0.690634809734208|0.717794550339005|0.826502396158274|0.934383641176529
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.516311952279255|0.830989027174313|0.914300442910797|0.872250218299265|0.926114904316539
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.559172251270344|0.902875238025102|0.789075568367121|0.885569103552755|0.871250775882928
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.470818285006707|0.894334949953565|0.835620678980497|0.874347332576617|0.929388092044165
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.536931173253534|0.84236920854401|0.804333918068311|0.884593953152409|0.903725105768239
PI	10|2|0.4|0.08|0.016	0.94612393606388|1.1565939403154|1.06244104885871|1.19845593762934|1.0639952473062
PI	10|2|0.4|0.08|0.016	0.947081232209073|1.0093843177998|1.27068111620731|1.11434902454338|1.12288585369699
PI	10|2|0.4|0.08|0.016	0.916876691462674|1.14793012932876|1.17609234695806|1.01580491094658|1.10623330339208
PI	10|2|0.4|0.08|0.016	1.0406648701916|1.17166220454816|1.11602380184124|1.18882464601011|1.02856046533937
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.677764494428745|0.721656084062626|0.983769084935314|1.05797224357589|1.01930037178179
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.683290610800001|0.754353184492951|0.878641560225094|1.11422920251575|1.10916268394171
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.716958985124489|0.753933319789621|0.958601385973229|1.08670233177581|0.989334326538904
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.782059095731473|0.726146136656057|0.890713527911334|1.04638721473556|1.01637660549423
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.484078405352354|0.919687042105554|1.08126399601891|1.07181996627132|1.0153659008598
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.432777639545492|0.852461917005336|1.04982444499737|1.05100771336153|1.03925243979984
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.401180207779875|0.911495721181564|1.09013215161826|1.078917916775|1.07055245933144
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.467685594456189|0.929583196735211|1.05577725273856|0.998270385150183|1.03622016979618
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.566009025330842|0.897464062730329|0.979747690171519|0.887097771247331|0.854125356044071
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.461870592542927|0.929000413700623|0.853697389881929|0.942761903403282|0.984312662567702
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.505080059726898|0.790490027471351|1.05465816926482|0.999967266033978|1.03224799252658
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.498583626470196|0.886637239670545|0.879244399344314|0.988434838004638|0.974454916515797
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.711734712468329|0.97044398397703|0.965060887773618|1.02097124075995|1.05300746491635
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.600156925999432|0.923978341297044|0.955771645949682|0.968354876244659|1.03001756308012
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.645043839363911|0.917458005727163|1.03590793241554|1.03650820204485|1.05316814437961
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.631867428976294|0.936027002292833|1.04619123999961|1.00400507769063|1.07270150854646
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.551892102300822|0.646039577919687|0.739703113000116|0.831399324587335|0.826391592059167
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.581570281842761|0.679452515964778|0.766919508063922|0.797670773147612|0.868462857563675
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.619543906717573|0.661624187390362|0.640202249509854|0.802177277886699|0.83637395521618
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.554235888969147|0.671850170261067|0.678547105561861|0.754958208647198|0.813920132081313
PK	10|2|0.4|0.08|0.016	0.000822148454107504|0.00131768998809011|0.0218826636483682|0.95664293135342|1.09537203625337
PK	10|2|0.4|0.08|0.016	0.000664476147840312|0.00102486999073675|0.0130755391125865|0.912663620212463|1.07107923878063
PK	10|2|0.4|0.08|0.016	0.000499989825788429|0.00117439470708445|0.0159415360733939|0.873796172752299|0.917411564299564
PK	10|2|0.4|0.08|0.016	0.000267436418444974|0.00108137334414707|0.0137090233628967|0.928190414729933|0.996770414555518
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00344698347910061|0.00158670668085584|0.0208022717262548|0.904543178939478|0.983035917020712
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00248401666589155|0.000776939133384582|0.0262736740740335|0.813072274489313|0.889277966389175
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0022234261077628|0.00159138619895713|0.0222906932123428|0.912857497573418|0.904787702309203
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0014108033678698|0.00125279339066838|0.0224938488973161|0.867576352678269|0.966434166271642
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000785159381825219|0.000829393713195654|0.0194962815515192|0.829216775870172|0.994000718807885
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00105056537004783|0.000851510878880871|0.018965469575074|0.841447568494098|0.95434464073429
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00148091206095479|0.00152613074983891|0.0170587503815327|0.832509976373235|0.948168077866582
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0016391774720492|0.0012095999276501|0.0202240586034208|0.844255530810884|0.947184571383353
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00113234858176011|0.00132463418998352|0.0362992498190646|1.04225209177365|1.10726599242074
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000918697905956314|0.0015596499333677|0.0418648499237534|1.03097133609121|1.02464727608742
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00082463264514484|0.000694427490648286|0.0373471784814281|0.990980580443728|1.02654828848037
