5Z	10|2|0.4|0.08|0.016	0.0826537349452451|0.345076611342577|0.443102702456572|0.635676069485235|0.794681601894224
5Z	10|2|0.4|0.08|0.016	0.121485326594267|0.309140996744303|0.419370261594153|0.672995924686383|0.863675067732168
5Z	10|2|0.4|0.08|0.016	0.0812638015967386|0.35312674415783|0.409250406464607|0.627435754325511|0.842049066951394
5Z	10|2|0.4|0.08|0.016	0.111839646679123|0.344021936955519|0.482302409667791|0.598451794510908|0.902890145356597
AK	10|2|0.4|0.08|0.016	0.954658804403235|0.977216887333581|1.00447763250348|0.918305020918581|0.981148019049456
AK	10|2|0.4|0.08|0.016	1.04735268589064|1.00203445251184|0.956256974773707|0.984032073626056|1.06166274012739
AK	10|2|0.4|0.08|0.016	0.906060026066588|0.923650416062851|0.913442521349994|0.976057018383325|1.08212798147996
AK	10|2|0.4|0.08|0.016	0.934350477127936|0.914353940520785|0.995543160254833|1.02964846562583|1.01564906716248
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0411898182249621|0.151767573152465|0.471300109252878|0.604776476520518|0.892670170009343
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0717410756217774|0.173321534681609|0.500882427094714|0.658107700597678|0.985253333201505
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.042570404363048|0.171378888687413|0.417539601727737|0.563067524026056|0.782205608171881
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0655015133974028|0.183337285369562|0.442814035772902|0.616592042923763|0.762436128120365
BI	10|2|0.4|0.08|0.016	0.839289938445897|0.979591015013564|1.0853855561763|1.00064926240771|0.929099538470056
BI	10|2|0.4|0.08|0.016	0.938924036298298|0.960566116555185|0.975786035321888|0.983697977220452|1.07483630031155
BI	10|2|0.4|0.08|0.016	0.87736006937577|1.00874804119947|0.969435104748285|1.04394305912662|0.903365840547298
BI	10|2|0.4|0.08|0.016	0.943814754522357|0.94115737852901|0.874378128375603|1.00471126392714|0.93681632156278
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.203037009654484|0.675324176536388|0.861366222269164|0.834231890041623|0.991526522225476
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.306485451062665|0.66280359294661|0.773434086904756|0.918688219225433|0.908433630825216
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.240886932387164|0.756596839210463|0.905862558013044|0.792545863981334|0.949192519430875
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.309186012820057|0.745555933978233|0.829735211439435|0.984206218896621|1.01080199061625
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.128909634094477|0.385762815094062|0.475608923705364|0.644548170472385|0.951553877737466
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.162365653500228|0.384670716532167|0.441921883449981|0.756551278752907|1.02266629563318
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.139772874476445|0.333757934280409|0.42875340040589|0.696748564273069|0.955114642255711
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.136836650978022|0.363659916231271|0.454294226866445|0.715920376527484|0.900967226564187
CT	10|2|0.4|0.08|0.016	0.820909318580243|0.979204516995651|0.910684607153428|0.926220886551465|1.02122350476971
CT	10|2|0.4|0.08|0.016	0.578120802313139|0.936966964915875|0.890685973180338|0.879010996516631|0.965161760353346
CT	10|2|0.4|0.08|0.016	0.912771481957825|0.921740396515324|0.871654250285132|0.942221359411779|0.909141207017884
CT	10|2|0.4|0.08|0.016	0.681831638719697|0.901434152733626|0.853308743235701|0.97250600596957|1.01350675823242
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.241525793459442|0.307620241654382|0.424360157796362|0.672113304768334|0.965919476094035
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.214283418063918|0.293512254935729|0.428125961542877|0.64204198411933|0.911416355528613
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.219907217528413|0.263053801073652|0.426653542230607|0.645904537956051|0.869038179349064
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.199600798403194|0.272696615900619|0.408771498099691|0.59745349483681|0.897091661426006
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.425265593253017|0.643553832996347|0.811615410093779|0.976354908716995|0.985095138988447
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.175022122471982|0.701749529125038|0.87447783550768|0.939080397265218|0.919227023526446
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.36578187549691|0.651853504991189|0.838296625890952|0.911981179008643|1.0042449518549
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.122671204534148|0.605563537118919|0.792192636194143|0.891783949153567|0.910214386341763
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.769652770437925|0.94848681594669|0.854389064206516|0.898257057583033|0.904699351240897
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.524281910744035|0.877259206691933|0.9326226678142|0.898820758278096|0.903753139359898
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.80488064629007|0.961422406142393|0.873262436164656|0.894906865057027|0.898416224193278
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.656473296921197|0.951705741250691|0.934747219644297|0.888334423668903|0.9417659379168
PD	10|2|0.4|0.08|0.016	0.220550464000922|0.226349875418273|0.326706577627138|0.416693471341402|0.535888658982126
PD	10|2|0.4|0.08|0.016	0.108402905466713|0.235893939903119|0.351190847683836|0.424509234410481|0.540939139785979
PD	10|2|0.4|0.08|0.016	0.234095657345608|0.239992273399653|0.334663460805295|0.433889275783716|0.596818877304636
PD	10|2|0.4|0.08|0.016	0.129278223695247|0.262907743375203|0.31599762102042|0.428216324476548|0.512537934049399
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.11057497939189|0.251098661654214|0.336240345691199|0.447697404690773|0.634593272042802
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.08841797972267|0.303330375566395|0.338319533337884|0.444883150704351|0.623168240933744
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.124077032687076|0.314283863724686|0.297530117880738|0.434388358737424|0.642255710522907
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.133166371604992|0.318515479943003|0.298091454726024|0.417958461073449|0.599831598946414
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00127748645907512|0.160790660538184|0.2539435920675|0.367777993569409|0.397609028721866
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00272760622343066|0.144442286528128|0.32130510778792|0.428510390367062|0.532642800112212
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00159550290808234|0.159791471480386|0.295297904511006|0.430117900243964|0.599742122204391
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00152129347049711|0.164355351891877|0.300492565141972|0.440618535662273|0.557164457389869
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.145439003541336|0.226505940024074|0.337770179509098|0.443312457477801|0.528391745023812
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.242136664166216|0.225633689792928|0.342113985660206|0.442335537218917|0.521483523193134
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.108958541152587|0.230464990112179|0.334733378834812|0.429166447909557|0.562188271118811
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.241612852417704|0.209516809296302|0.332843317407816|0.428641430846503|0.570623545265221
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.249943029032405|0.335098673715874|0.442459322729137|0.484262339911581|0.611585615970102
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.320404721753794|0.363556811448886|0.457900733786063|0.456004739984504|0.598021968005105
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.206498374518129|0.369721625126574|0.382672185606935|0.493791192197687|0.605567497468512
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.29583770052051|0.368904442983781|0.42870085804125|0.496011795846583|0.59853262510881
