#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.016	0.312175238623582|0.442233758845909|0.541352605789494|0.688735650557053|0.845187625541098
5Z	10|2|0.4|0.08|0.016	0.344473605957568|0.530135152447589|0.573613362215377|0.670597790124081|0.881096640053031
5Z	10|2|0.4|0.08|0.016	0.342277183820269|0.495161846578312|0.616559097403557|0.743907966694585|0.884110952357491
5Z	10|2|0.4|0.08|0.016	0.366394048381534|0.525171207567621|0.614258264768192|0.652820613883825|0.927816918756466
AK	10|2|0.4|0.08|0.016	1.0491218591944|1.03765782266761|0.980864722172808|1.01889369851341|1.02882041213431
AK	10|2|0.4|0.08|0.016	1.01969749877563|1.00159661964655|1.05849513656918|1.09558414976161|1.02711178753319
AK	10|2|0.4|0.08|0.016	1.04653595228517|1.08987109299844|1.03141925967386|1.05349961228785|1.07774415662405
AK	10|2|0.4|0.08|0.016	1.10958669301943|1.08313597910436|1.04482418857386|1.08113503460258|1.03842023332692
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.164980347800038|0.446603345780587|0.613587649844797|0.702613923364167|0.837643388752021
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.221308046297588|0.453219500353791|0.616939628235124|0.69039392202131|0.812521627749629
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.143698445912814|0.422948638899273|0.54363435984328|0.609842066678642|0.859141732168779
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.221383385200973|0.441028678516116|0.594694450243479|0.641525831055527|0.727435149267137
BI	10|2|0.4|0.08|0.016	0.980221465229549|1.04999185883867|1.01116044241763|1.01480152874343|1.02169395130944
BI	10|2|0.4|0.08|0.016	1.07732564773515|1.00360647036425|1.00757576728843|0.98001120531496|1.02912484438843
BI	10|2|0.4|0.08|0.016	1.0093245734175|1.12238824413803|0.973586382312659|1.00295029296976|0.96112100835144
BI	10|2|0.4|0.08|0.016	1.06358833887693|1.00959231379172|1.02238721436736|1.01595629653276|1.00385134230607
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.584795963141729|0.909150743946707|1.05279428776577|1.04010431209861|1.00342554549444
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.605399098488173|0.934171686146236|1.10231760341458|1.03361223024453|1.05627468187802
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.62292303399586|0.91198972142732|1.07297916382773|1.04406938036559|0.934389742192113
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.632132219821293|0.927345286067473|0.995412278481834|1.02401059004458|0.926410870369289
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.375481437493066|0.541726322933457|0.540254112856388|0.670967573528932|0.904709636580766
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.377272104359856|0.51635419181801|0.561089539869093|0.704572595749124|0.93686855173944
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.347448610009207|0.536122248078265|0.579261448816975|0.672178691495544|0.984756138009356
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.364669265243199|0.52338586208086|0.554727985289474|0.633805021850862|0.956704247850071
CT	10|2|0.4|0.08|0.016	0.81513180860279|0.877415472422389|0.889154777114233|0.952590274994505|0.999791964664552
CT	10|2|0.4|0.08|0.016	0.874909645669985|0.92287295622913|0.883480231354098|0.947724363758599|1.01547571334376
CT	10|2|0.4|0.08|0.016	0.912410701088831|0.988111543577869|0.935379612750653|0.864112923092083|0.989013154653397
CT	10|2|0.4|0.08|0.016	0.785889540326157|0.865083509878307|0.875163817312903|1.01703700054195|0.945277627235552
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.152177398278638|0.502493757370914|0.504048649681445|0.628694790891142|0.851167377129467
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0652088453167654|0.482091286234152|0.494403046534764|0.611713961307779|0.842865833437652
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.166129699916627|0.512461010150479|0.536668240836292|0.671561751176254|0.900966073729441
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0533631842536395|0.504219357622188|0.533725126662352|0.615516648301354|0.941581982171071
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.713263814644375|0.926829772179096|0.937582960173952|1.11290330911025|1.12276814535914
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.684490514779177|0.90294757175248|1.13452847632181|1.03341648718862|1.12220001342857
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.672272579415749|0.866181489806916|0.939540619401572|0.902594029314522|1.01092376185228
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.619891927582741|0.89656896777733|0.933753453122497|1.04453010831517|0.994596379137071
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.880030051782914|0.955297972914933|0.979293244631|0.820485469629622|0.959559582403296
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.791167032271051|0.966575083943707|0.943718292740776|0.905174060593318|0.94942095188766
