#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.016	0.231880227519258|0.607987086999922|0.832599032311605|0.928700826019821|1.00148433425603
5Z	10|2|0.4|0.08|0.016	0.265698191660826|0.648085350399638|0.838703130788963|1.05285630118377|1.0304158731732
5Z	10|2|0.4|0.08|0.016	0.23943960875489|0.624152395618926|0.862891436424642|0.98147360681255|0.895035513588099
5Z	10|2|0.4|0.08|0.016	0.266206353551714|0.632593923835326|0.810213144642825|0.99859649731804|0.921852749768647
AK	10|2|0.4|0.08|0.016	1.03558360095462|1.02730695426915|1.04902126889672|1.02083344513502|0.974565180892568
AK	10|2|0.4|0.08|0.016	1.07706496431674|1.01844152797508|1.03876975727407|1.0948970134001|1.02717202560885
AK	10|2|0.4|0.08|0.016	1.02327081061595|1.02841473526925|1.00226819312556|1.0237693802138|1.02748924679419
AK	10|2|0.4|0.08|0.016	0.994183603478941|1.02756686840823|1.04295087522102|1.01702525613267|0.995556908958057
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.23224359614857|0.514836190503379|0.855653834380883|0.967488687890452|1.05876270183769
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.293681871601014|0.488476953113229|0.830258881968664|0.998412418975479|0.998266507432766
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.232875923983937|0.546381435915799|0.869766222472313|1.0122355935238|1.01647824641277
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.267399033173901|0.541323503082078|0.864657134818528|1.00092398393739|1.00446325805049
BI	10|2|0.4|0.08|0.016	1.09441630088582|1.03027802761058|0.97562400547326|1.06355490300081|1.00642390605262
BI	10|2|0.4|0.08|0.016	1.10929181581899|1.06022038242783|1.06878900701496|0.968199914074598|0.891335115046939
BI	10|2|0.4|0.08|0.016	1.10951281257154|1.01950836890511|1.08493125782691|1.03592636979384|1.01924242220217
BI	10|2|0.4|0.08|0.016	1.10046052542989|1.06764472213619|1.01969352167297|1.02270646216824|1.06460148391527
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.849636152520248|0.987745139284549|0.990915232071466|1.04104372660594|1.03621967236498
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.916355547221641|0.95839693953024|0.989027279946599|0.998761932923209|1.01971852204441
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.846889956137685|1.00701613836741|0.992972202767648|1.01719932411894|0.996569795378592
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.885250952904015|0.99812208996813|1.00182960901996|1.01410805935695|1.00041388970547
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.221135432051644|0.540938283078046|0.765120562903467|0.978781592791118|1.00958529016412
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.24988134552515|0.544605785027963|0.76791184719295|0.946185632021773|0.997713204666523
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.225124212694418|0.551957905792728|0.737695526296944|0.928967730275161|0.982420962533291
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.252462940797348|0.532537417262581|0.810746572002442|0.9822947890345|0.98616183626772
CT	10|2|0.4|0.08|0.016	1.04398647973652|0.935852689854375|1.0044231115642|0.989033861227726|0.893482694959478
CT	10|2|0.4|0.08|0.016	1.0115403645311|1.00986960355611|0.928018047994261|1.00612533696433|0.977067940346596
CT	10|2|0.4|0.08|0.016	0.957370282507181|0.977778268666231|0.964186619309956|0.915345672691183|0.967815687515138
CT	10|2|0.4|0.08|0.016	0.866009279369615|0.959793868925946|0.876719764142124|0.964088792253991|0.879036056370474
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.265843192964084|0.57299295534398|0.790632884414436|0.973574681863518|1.02769334088729
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.26227678314741|0.515777070254134|0.769534948439619|0.942304964838051|0.99017397364138
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.269352971601685|0.537308754150704|0.765214769303339|0.931566844524653|0.996097274809622
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.247845813620056|0.505167435046009|0.691321978186834|0.885838757516795|0.954769736228321
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.854350146466641|0.951089499285509|0.969645641130561|0.885537152726563|0.948117344600242
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.739965012949649|0.993997008813374|0.911068500711319|0.954588204320568|1.01800897355988
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.86790226871627|0.982815177635113|0.96474793462414|0.951418906821495|0.987745223418677
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.723428268153567|0.972446735043609|0.909059518633143|0.934982223700028|1.01181036908203
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.04053441158609|0.981561911985398|0.963553450981096|0.918605753585421|0.957977695268893
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.888116756051292|0.97694619754472|0.925237213044603|0.929535191406093|0.938394219936572
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.959145200166974|0.92507372446575|0.94227273339348|0.978380889541225|0.986547809811077
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.959343818590684|0.988096360233225|0.972782543123763|0.927430214238585|0.998316793019404
PD	10|2|0.4|0.08|0.016	0.459756409300969|0.495018482858981|0.49913415438416|0.51771557792891|0.600605971730401
PD	10|2|0.4|0.08|0.016	0.448637044409346|0.486521095621249|0.500650285717033|0.513801843558004|0.564571408423504
PD	10|2|0.4|0.08|0.016	0.460098783897109|0.477740312107815|0.512093990438065|0.52600801297132|0.572673452681247
PD	10|2|0.4|0.08|0.016	0.432307380977562|0.491054735872579|0.49203408052778|0.524928735188037|0.579285694655993
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.235818715876467|0.396166547735608|0.481478285401351|0.507081099918684|0.583955923596475
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.167410677243233|0.418881826781062|0.464680794570106|0.506334323503543|0.575499095570786
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.204646594850075|0.411018697548483|0.468021838245575|0.504366626086541|0.579736536094146
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.224745692198045|0.379250256609616|0.476304957936484|0.487882228974209|0.557915340992406
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.461604403862593|0.54098096664175|0.589663164759485|0.586599496705996|0.552376786305147
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.451381494771975|0.550463596108565|0.590031702234539|0.550793677499265|0.609903883824169
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.402821001646894|0.493584823954341|0.531066684759517|0.505327380488937|0.505187976559378
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.439003736470218|0.4998461366203|0.524760881477741|0.502577860431455|0.519442769867099
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.517599541695095|0.521960923173474|0.533395515405896|0.546327083459281|0.520648190530476
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.523587444978942|0.505736008313973|0.532206571148094|0.538715537169622|0.560076230614883
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.486628903923585|0.50594974175015|0.509159275171146|0.539434029216438|0.554679312966169
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.489381908883836|0.509112238905494|0.531526402908501|0.516198113984089|0.564869581577832
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.617548656860979|0.582674584449294|0.562836818279802|0.532743535303723|0.56048628808169
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.642695786467915|0.587980994959353|0.545606486990878|0.533818400871704|0.574267600185444
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.575608891346021|0.578724708399185|0.567123773353605|0.53421990397154|0.566231393734714
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.631738667980698|0.575155189923622|0.568310608200278|0.523784771256362|0.575077069148904
PI	10|2|0.4|0.08|0.016	0.709432775620318|0.819471529682435|1.03686970500867|1.08654806474359|1.08682401997788
PI	10|2|0.4|0.08|0.016	0.744540057228623|0.869762766740014|1.03634346479445|1.08014333628274|1.03888481997531
PI	10|2|0.4|0.08|0.016	0.654766066515649|0.822210551893337|0.933611331018428|1.02026509064972|1.02326871977363
PI	10|2|0.4|0.08|0.016	0.691932057783805|0.84601384240353|0.983312300613737|1.02045007407175|1.03431442478778
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.217927189218501|0.387269213551846|0.674852511400568|0.94528382229307|0.990107254510185
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.224682003297339|0.379326483893626|0.676069542557876|0.981081425353117|1.01079387262663
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.187303897153166|0.386114789932297|0.72071741221134|0.999664124263311|1.04635008657025
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.23903947190235|0.385178316352099|0.689376150986472|0.966642719262206|1.00711000733724
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.388173291375149|0.659570437811249|0.964183801289298|0.980144205798784|0.992960801686475
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.438202315847362|0.680584155693379|0.928810607680792|0.971079404845559|0.989758944120253
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.395525933312324|0.649153586732078|0.908739136638084|0.996662010100202|1.00089838807543
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.401490101268562|0.677494359596682|0.892558744075421|0.973567321878493|0.96133481967172
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.453752953307103|0.572245763221082|0.989491073782004|1.02436433294316|1.04450570712327
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.472782305714654|0.676673260282796|0.880179654007404|1.0436500592464|1.05304936719712
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.404535373376371|0.586801562213823|0.893395293930961|0.953327119477324|0.884120483553673
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.38817172487893|0.53534074991899|0.74721692660309|0.905268356271953|0.936275349455249
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.660010881862699|0.772056643262025|0.908258412572294|1.0092006436996|1.0125861120947
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.651627817265313|0.768999358027677|0.959017408101518|0.959011650502207|0.991585268606402
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.644673523355235|0.767252798484879|0.88813323437272|0.940957727539664|0.987861184912703
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.620834437186872|0.736435743965005|0.892277959428454|0.915060113039214|0.967361673605669
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.359306298298819|0.376681323029585|0.427377180367758|0.467483840104888|0.555144442443016
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.315833301343287|0.36385675939843|0.416805700331023|0.474597442174299|0.564150870965932
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.349106718987555|0.369640464157588|0.427762320547567|0.484453965831175|0.578385183493681
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.322275237517202|0.376052376974803|0.464989874345739|0.514506426936043|0.591957165778293
PK	10|2|0.4|0.08|0.016	0.000917711593087963|0.0193682069086676|0.319228865559263|1.01886843914425|1.00675849665364
PK	10|2|0.4|0.08|0.016	0.000654591485978827|0.0233214260788927|0.310298825826522|1.01650035818027|1.04256208391125
PK	10|2|0.4|0.08|0.016	0.000721121814718723|0.0163287061350222|0.328724946895649|1.01991707099131|1.02477053433559
PK	10|2|0.4|0.08|0.016	0.000520461831492644|0.023251475556322|0.32482775378393|1.04672712593765|0.945227662859875
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000681304523468976|0.0586737126365248|0.364602736136436|0.961853497690771|0.94002554891963
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000395971859793935|0.064106679477521|0.348123319030306|0.962298966033039|0.974958419315274
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000673281658966008|0.0458290583773453|0.368603346056826|0.98781436706551|0.957351432368475
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00053250458481857|0.0629151106591963|0.344028565504567|0.94256371884064|0.948353941107747
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0010326601692585|0.0497632214108949|0.36159909565855|0.969625126027314|0.957938956952125
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000623262350676729|0.0476367969203507|0.3508997586386|0.953013962298738|0.943182304237573
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00122293664717807|0.0451639911007841|0.364673436718516|0.966038422160866|0.949246561274614
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000997163727699045|0.0285289169641695|0.363723309015708|0.964012737355541|0.951143680945236
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000857113120565205|0.0565939549036054|0.489812598338425|0.982768965158352|1.0596152786536
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00146933677811178|0.0560184646655116|0.523738972321368|1.08469195966671|1.00731913382597
