#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.765456546813363|0.665630875699817|0.832091261962069|0.985395347367423|1.07590943324678
5Z	10|2|0.4|0.08|0.02	0.68626593845295|0.65636142433547|0.887328765319612|0.985342680030126|1.02550679145314
AK	10|2|0.4|0.08|0.02	1.05424169501839|1.00539374325782|0.94796005863967|1.01664592150029|0.930722208392111
AK	10|2|0.4|0.08|0.02	0.963250629270047|0.957419854507233|0.956014715238016|0.920709208087849|1.01718806184826
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.68248780101524|0.682455033736644|0.772171842531381|0.892045470060264|1.04458807434896
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.867677537211341|0.6812972565596|0.709935858052149|0.853128865514897|0.981412761216649
BI	10|2|0.4|0.08|0.02	0.965476651797551|1.00415771946028|1.13272943939257|1.04121882074606|1.05084538353287
BI	10|2|0.4|0.08|0.02	0.976350239061585|0.95072213788944|1.00092944114074|1.01362112016596|1.13887132630377
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.915110073382255|0.885661869817974|0.994996664442962|1.04586390927285|1.09540884399123
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.843502811398075|0.85097207662251|0.942306775945869|0.930251119794148|1.09557562184313
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.587258046742138|0.541141361162984|0.695240903391441|0.870439037756473|0.997221204621199
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.849852720866579|0.69347772347263|0.673749169786482|0.799959494515379|1.03803643706609
CT	10|2|0.4|0.08|0.02	0.725534705141912|0.916285267365738|0.997614169620426|1.00653601655861|1.07246498938753
CT	10|2|0.4|0.08|0.02	0.597637343248837|0.781951956854917|0.850566963886007|0.925122846564246|1.01715375175777
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.624058860952065|0.600149365197909|0.741415650153514|0.941122451802063|1.02831853511465
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.584903050922468|0.655093629850911|0.675706027162338|0.891610654717451|1.01910214919924
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.719296377304291|0.8248397816607|0.936532511966883|0.981128778135487|1.03322875110248
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.584404413752427|0.71714465934318|0.878195833640527|0.863122885486553|0.947738921246577
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.761221035088588|0.878546225857111|0.954404939149285|0.951409749517069|1.04338654553825
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.662356468356754|0.842580641401795|0.887322014935158|0.88522421674917|0.957924578327997
PD	10|2|0.4|0.08|0.02	0.580625178690556|0.699907080911084|0.725948251215096|0.762687029448204|0.900445535118651
PD	10|2|0.4|0.08|0.02	0.509827980558468|0.65785523682455|0.68855427427809|0.73493042981035|0.917599828457067
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.631182670800609|0.587853715633628|0.615135350863869|0.744907775563875|0.896862909782968
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.672950973471886|0.469077338670527|0.615945460556295|0.734733750897226|0.787081133081365
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.556747931594008|0.659492347085924|0.689858227352867|0.751322300162764|0.876467445960621
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.550157121109905|0.620258466106732|0.664688754743101|0.739444796946358|0.785279520084667
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.58273021694444|0.604747046035995|0.750394108339125|0.955584803537363|1.07359548069387
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.485293030271661|0.573632451457388|0.770009316632407|0.813451442599193|0.967143343044321
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.401867597634074|0.653976289777763|0.766813616814041|0.915632494386731|0.952463467740337
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.482143716677851|0.532123755241647|0.888269754035466|0.961320116314298|0.873954148156328
PI	10|2|0.4|0.08|0.02	0.935311694257693|1.02313308754428|0.983385141810646|1.05443504662763|1.04141063640088
PI	10|2|0.4|0.08|0.02	0.834176727150052|0.853394057688137|0.826827152461505|0.993481770645076|0.902238608159233
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.693688289677892|0.644824664133985|0.66290255521596|0.899540118255306|1.12995705866111
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.704517251119553|0.558192972600696|0.710280848416756|0.900911194264332|1.17362836857824
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.996661511810815|0.939993495589612|0.98527215647753|1.03689593607094|1.05844013619439
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.01321457253413|1.01413049971128|1.03174550498782|1.01432961431501|0.974440322034686
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.695295395210377|0.738110584169515|0.866114757346321|0.970705001040786|0.996125265525898
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.580392589601667|0.603234713608218|0.829288478370455|0.973624218469819|1.01097214454641
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.609976190828293|0.686615104775144|1.00947338844442|1.1361914198252|1.14501708049275
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.495171618284261|0.702894071368362|0.81516688602653|1.11475429230564|1.07197468242114
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.563450468739825|0.705802407264264|0.679379694830696|0.824597019658475|0.994289047259054
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.443376059301038|0.554265376676548|0.672788173769257|0.727287141720534|0.952576724115963
