#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.0164049369977103|0.286708180066392|0.425930972416315|0.534838185991798|0.771617790958277
5Z	10|2|0.4|0.08|0.02	0.00735487362205221|0.265074145155957|0.379423810045648|0.471929965776175|0.721355608721499
AK	10|2|0.4|0.08|0.02	0.938105927502748|0.980942536604813|0.985026699288383|0.984014069166674|1.03799970226656
AK	10|2|0.4|0.08|0.02	0.904171043656638|0.89176716572062|0.896958156676756|0.947848707677065|0.944676248525
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0148838576989686|0.22105246961597|0.368417363474883|0.469974988417398|0.636784977322034
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00158651733800171|0.193568792109812|0.334659420203136|0.404435410109603|0.570640197357286
BI	10|2|0.4|0.08|0.02	0.895891107927698|1.02440727739834|1.0101921880849|0.991469592225422|1.04909216303245
BI	10|2|0.4|0.08|0.02	0.895554495850869|0.912965465342014|0.945845113949959|1.00924812662805|0.96216886512399
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.723869660118491|0.828823666978485|0.962628624883068|0.90130573744933|0.999797318366074
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.650257249766137|0.765754599314001|0.874676488930465|0.878005144995323|0.899910352354225
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0165360290569201|0.32531558761525|0.394210967463361|0.447301821137385|0.865506083157654
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00568946686647532|0.242200604505855|0.372306520027431|0.454100734042823|0.72262731452084
CT	10|2|0.4|0.08|0.02	0.822690716120692|0.963992734346891|1.00859523271522|1.08371114664846|1.05813977169246
CT	10|2|0.4|0.08|0.02	0.803197973530601|0.936741686248307|1.01378165994765|0.941016512583487|0.977503823389933
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0178034505119081|0.30281677702709|0.414007601454352|0.4988801353762|0.77130118765365
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00135914474807462|0.241473595501365|0.377055012561155|0.480605694110008|0.612987738260345
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.684838672727801|0.886593073689285|1.00375259219495|0.985470031405521|0.996541460587524
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.455316799132886|0.735402074439804|0.882438723332233|0.935843495535356|0.95438591692325
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.806859148158645|0.960323302357929|1.00305369059353|0.95041065706097|1.01894023297812
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.680772776208104|0.905265947722597|0.913085407576287|0.922901325264961|0.925609698296917
PD	10|2|0.4|0.08|0.02	0.173359058309947|0.171722014343623|0.196020424072342|0.294792641097599|0.370159027128157
PD	10|2|0.4|0.08|0.02	0.0680971312753352|0.0819574368568756|0.0977899906454631|0.21658481446835|0.322466479575928
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00607960173731935|0.168627670112519|0.195737979731274|0.290207513144192|0.345878946432653
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0017393512991796|0.130898376977979|0.110209037108532|0.198095044575957|0.32049173249346
