#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.346254560233794|0.720417267440173|0.925636981197805|0.918421892992965|0.988033559449966
5Z	10|2|0.4|0.08|0.02	0.481839383001577|0.470753539322037|0.852541634813575|0.898611366473451|0.930274146256496
AK	10|2|0.4|0.08|0.02	1.03014594034343|1.00794296652034|1.01751185877861|1.00276882217809|1.00588640788304
AK	10|2|0.4|0.08|0.02	0.954328351854914|0.929459711263097|0.925189404793288|0.908664890647079|0.953968126615897
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.283786530234496|0.528820232362441|0.837492420590463|0.8639300729135|0.872328310627298
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.361164533234346|0.441465122958598|0.725110562799502|0.797886331532191|0.80441008258827
BI	10|2|0.4|0.08|0.02	1.05078180927621|1.18829735126785|1.06843751177424|1.09660525225123|1.12610677819223
BI	10|2|0.4|0.08|0.02	1.08634942164952|1.02768546776685|1.01531215854715|0.972495384499454|1.1006593572209
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.921508785886079|1.01855314466695|1.12318083647137|0.972673979874429|1.03311760485631
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.75280936467282|1.00366899494816|0.96573746054994|0.965224470374817|0.935285174212207
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.434957936452757|0.525334238541415|0.884835447076001|0.889440556866562|1.07084752833206
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.523788295823092|0.384318087938784|0.810834686374028|0.897121192911566|0.85139727865004
CT	10|2|0.4|0.08|0.02	0.715772360870533|1.12272810845857|1.20180764280668|1.05666205401639|1.01337152478735
CT	10|2|0.4|0.08|0.02	0.592821683972169|0.962006599638084|1.01801643135699|0.925784069905844|0.986833625252809
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.304272435073494|0.348540842173861|0.776219894584996|0.797807210726853|0.887896268230263
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.261575919925204|0.234781711692093|0.58775004953097|0.724524298011065|0.835290284234087
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.648700036784281|0.94531907424546|1.02101742970255|0.987384167306332|0.971199083584301
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.424030381464753|0.805740363442135|0.886954681429649|0.895191672979342|0.901171218231566
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.941923815982819|1.04708940883915|1.03588410383934|1.02660788968012|1.05239440865077
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.85668964997551|0.985117365585321|0.953950491692099|0.946957537394974|0.975464375871293
PD	10|2|0.4|0.08|0.02	0.742177829159402|0.832382318938631|0.894580519012234|0.851794164550892|0.889643917906703
PD	10|2|0.4|0.08|0.02	0.701227830832196|0.791127500362439|0.839430357866407|0.880268836590325|0.847355684340046
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.428029822789159|0.590476502079661|0.846816707632785|0.853049556052693|0.857703743389868
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.333956345522287|0.380261010752073|0.770124861458176|0.775057154892827|0.822670554698971
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.466348890153671|0.72124359704041|0.788709447922595|0.979631474103586|0.984248719408082
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.462450199203187|0.661852589641434|0.785920603301081|0.927689243027888|0.923513090495162
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.75883121474354|0.863210316789376|0.901095928311225|0.884667763107333|0.926918643077822
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.729473247360089|0.772916890822177|0.823049847061898|0.860056256628599|0.86006855315944
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.708575803981623|0.912042879019908|0.9384134762634|0.916955589586524|0.922327718223584
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.663283307810107|0.908569678407351|0.913304747320061|0.868735068912711|0.896967840735069
PI	10|2|0.4|0.08|0.02	0.438900579644399|0.492153028770296|0.802184138505375|1.04851231226955|1.00642559243432
PI	10|2|0.4|0.08|0.02	0.525120407423289|0.460715474237199|0.830654761412008|0.917000418880414|0.967517727913164
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.203870689006209|0.317386024803045|0.484755848091985|0.767847031522582|0.92266149963833
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.41466711616322|0.284753884272094|0.486176344480193|0.742592307717485|0.85606836711649
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.362819323713178|0.420101665911722|0.6230811817404|0.939992666249649|0.984764493144381
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.352199765607587|0.431634347835465|0.568372842115859|0.879280717269544|0.871033843100882
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.310479510529311|0.377134319863404|0.491099886169607|0.902141434262948|0.980833807626636
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.268831815594764|0.379496300512237|0.500533579965851|0.847858565737052|0.821656232214001
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.424174979633871|0.632453619022733|0.704542031079482|0.869831998647382|0.99303708941115
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.280539202877388|0.612139750073011|0.506690849843988|0.817393442874929|0.907914354662691
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.153274119448698|0.26052067381317|0.50783460949464|0.793543644716692|0.876183767228178
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.124814701378254|0.187883614088821|0.43966921898928|0.7135865237366|0.823761102603369
PK	10|2|0.4|0.08|0.02	0.00077484598280438|0.00130465520181592|0.00223182133508612|0.342945507466171|0.931795341321311
PK	10|2|0.4|0.08|0.02	0.000470205681872743|0.000960279209458419|0.00147684319799467|0.169221064552286|0.912278494215973
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000451678575052287|0.001053916675122|0.00272970964922904|0.617320236836679|0.991414834040854
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00049095497288292|0.000661152696815666|0.0157171051985586|0.477267148238945|0.748568866254046
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00062552576519057|0.000826844402263397|0.00263871213591884|0.890619270507539|1.0270773566863
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000510486544006097|0.000754944889023101|0.00220731505647707|0.712567315919271|0.974267164211298
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00111945676182049|0.00121330343646413|0.00191045016238826|0.5458658863986|1.17734675340781
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00130715011110776|0.00144121678917009|0.00169594347748853|0.103238045441901|1.16672196917137
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000353816722937518|0.00104945638159433|0.0028605182515457|1.06666146935887|1.07341397156273
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000641667616174821|0.000941512296630345|0.00223684131619821|0.905129143103872|1.04817304636198
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000327043952985997|0.000453271443612172|0.00203685268964963|0.662941043155458|0.831867851292541
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000372944858668243|0.000912280500434624|0.00186472429334121|0.165862922682793|0.846940561195948
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000442765167598181|0.00105074121862852|0.00214774148461804|0.808449545422254|1.06935718097365
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000693885710415059|0.00128864489077082|0.00283501875969581|0.616725619416905|0.998276850485803
JN	10|2|0.4|0.08|0.02	0.35869315296449|0.943026008247607|1.0226966333024|1.00837166832909|1.02817518803584
JN	10|2|0.4|0.08|0.02	0.251953968230337|0.840911835299294|0.895770165365675|0.980509115210102|0.917300620803621
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.179932101093927|0.620694658039056|0.864702724661231|0.866552534602327|0.997243420479935
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.171916258015843|0.414952267649363|0.788744450570177|0.882286800336593|0.811312131851551
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.221451338823364|0.642119057913453|0.957879601419766|1.02567712051589|1.11190880784558
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.119446706819637|0.658026069265549|0.924356228570279|0.980161483313726|1.03414343123552
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.413695705624487|0.822923725510186|0.947275311388701|1.04091080820135|1.10212110126954
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.350464459410026|0.723459248109479|0.804951035363682|0.946561681049216|1.02498305877555
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.213817893894319|0.707327218950189|0.943355413581504|0.969811548094108|1.01516738052138
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.25226564001641|0.656796059407247|0.79117669840523|0.903111794524596|0.908453512423367
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.365968540543577|0.626552362763449|0.819452590258836|0.921704910232667|0.920568259354653
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.290513425862442|0.573572536664425|0.737831805408013|0.876166182323427|0.86639230645958
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.184629941161778|0.322764949821269|0.489166124931559|0.994165802371725|0.982646280885104
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.180494558663709|0.253733836857506|0.495458522940621|0.970253366614892|0.849043651443497
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00354728259292575|0.00383744885819575|0.00312654150828425|0.546673243768679|1.03267997562603
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00251719235121725|0.00218350114615675|0.00257522560427125|0.225314104982155|0.984875083422801
D1	10|2|0.4|0.08|0.02	0.382500899445184|0.844253965448681|1.03438089767785|0.985804545827521|1.03057482437149
D1	10|2|0.4|0.08|0.02	0.451893884403936|0.659220733316081|0.942347141657883|0.957249528185772|0.932393281617865
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.407851164105803|0.403806643647321|0.812475317207498|0.832107837487726|0.823699168814166
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.328429813278997|0.290486310558319|0.771845711993878|0.80072285046492|0.767075882395426
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.438232015403993|0.630486586654699|0.947374516815543|0.991339597237705|1.05537040522346
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.3730893402632|0.469080537981556|0.830535809940208|0.902372851910298|1.04961996728099
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.542286448381775|0.746992115920103|1.07101540949611|1.12886460119859|1.08065368086757
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.42790533887197|0.556026528070324|0.933399414400021|0.993041924524119|1.01233150958284
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.248473749471101|0.545264743408574|1.09201938832355|1.10364454086692|1.00590569511583
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.263960883550801|0.45060372050624|1.02002055149227|0.928443886094416|0.896299914559376
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.446012337117203|0.759265613023324|0.85883125889696|0.858531956053582|0.956768989305398
