#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.20316822961672|0.341912138694723|0.951175370485675|0.897992217481268|0.964795337195901
5Z	10|2|0.4|0.08|0.02	0.144865292671666|0.185349592932462|0.853854761343172|1.06468254544926|0.974619062364111
AK	10|2|0.4|0.08|0.02	0.923081539269372|0.922653464356262|0.872312654714575|0.986600655114645|0.989193108794039
AK	10|2|0.4|0.08|0.02	0.88122221388743|0.855989798214688|0.928874553046783|0.924897857124997|0.95914385017378
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.110108261289457|0.282320422140839|0.87751449154387|1.05434619521689|1.01958339585002
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0652314948849024|0.213272415665871|0.85041430071829|0.970611170164431|0.977601768359302
BI	10|2|0.4|0.08|0.02	1.00216577975042|1.08966142262915|1.08595264099644|1.09199916343271|1.07594171914577
BI	10|2|0.4|0.08|0.02	0.9974624125671|1.06475030790324|1.14122185299654|1.07643436432505|1.15332884065717
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.66519301811518|0.921668331401156|1.0629246381092|1.02381752494485|1.08438052690881
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.709151310992945|0.938914903191523|1.03602221868216|0.998054644376666|1.00781281795169
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.158212118385204|0.252638981579155|0.904298197144422|1.01845911701458|1.0764174434709
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.118686596867906|0.235985829751303|0.887281460272354|0.991228510808283|0.968097804376894
CT	10|2|0.4|0.08|0.02	0.703221327812611|0.944351972849495|1.06745483020315|0.986396801141108|0.986356558297907
CT	10|2|0.4|0.08|0.02	0.635255637072154|0.903800601183363|1.03044482873876|1.01609601942388|0.927248764488821
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.123769659690446|0.157399544920361|0.90121371239967|0.939068336958968|0.985860525591979
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0906518640762133|0.143985197409547|0.773719400895157|0.911635536218838|0.959311879578926
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.607556523889123|0.845579207408174|0.963853028378701|0.948138975120824|1.01137979784745
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.472245761368703|0.80034741666966|0.900654470453734|0.934343743858396|0.917518126316813
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.999958171635721|1.07393860525643|1.06892384913903|1.08413543094834|1.04092673064857
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.79541747031348|1.03037204006228|1.02022169033068|1.03029303092975|0.977533520786373
