#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.490773739816298|0.906711906465029|0.973014375874358|1.04343147246681|1.06219417242187
5Z	10|2|0.4|0.08|0.02	0.535502902394713|0.884391636545486|1.03004310863249|1.05959879219867|1.01268571211536
AK	10|2|0.4|0.08|0.02	1.08890666917682|1.05693111425685|0.989424751367614|1.124314382845|1.09548859386484
AK	10|2|0.4|0.08|0.02	1.06367957829341|0.899298000441691|1.01760610547733|0.998330986093964|1.01186411837327
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.493784699366925|0.930988968573703|1.03861516140483|1.06916955863956|1.07354628822315
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.538448018582146|0.867964062570002|0.833963421568661|1.00439396080242|1.013333517133
BI	10|2|0.4|0.08|0.02	1.05410554427499|1.07031156511945|1.12660336466776|1.13246883494058|1.02402601472826
BI	10|2|0.4|0.08|0.02	0.959125953756237|0.99668927633241|0.966351422965367|1.05568587823451|1.08679870306247
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.961650563343095|0.930119226143123|1.02576934426484|0.985437119383179|1.01582261552028
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.86136185971385|0.872447526864278|0.998103494987808|0.959676403439594|0.984698535083617
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.421892071501785|0.778927923767473|0.960235485820915|0.972753179171219|1.10851796367841
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.466383573061804|0.606683862538156|0.908685416924792|0.990662416508037|0.999485625678167
CT	10|2|0.4|0.08|0.02	0.803403113190229|0.944807023985111|1.01686997145082|1.01052078519747|1.03999417621999
CT	10|2|0.4|0.08|0.02	0.670639919479911|0.879650319991391|0.95118786121679|0.938495818905762|1.04590024877669
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.41221385100521|0.712477055584318|1.03052376625116|1.04157328998483|1.09494553077177
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.464594096542136|0.624182237492352|0.884323940755437|0.966855049219618|1.10068751787583
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.844632992270075|0.975135351223933|0.928783372563075|1.02680833026043|1.12467476074453
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.762536573261973|0.906451712955464|0.902771124612728|0.973825778592623|1.05604626237632
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.00888368020271|1.0240412102471|1.05393839356774|0.963190755046337|1.10922728887251
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.843548837447837|0.939485745653607|0.965310529924725|0.971844603026567|0.938171333273818
PD	10|2|0.4|0.08|0.02	0.762080944007372|0.831335301741023|0.859442921066392|0.919420107784989|0.960622067449313
PD	10|2|0.4|0.08|0.02	0.640856481681211|0.753583773233912|0.815410872029916|0.810199365990954|0.948176576868851
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.410786091618702|0.671705282286375|0.792279128792572|0.902355233664861|0.976672936777013
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.474493416384136|0.568792872348813|0.737515159024266|0.815977893167832|0.870013478859966
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.796407101059698|0.915906769168483|0.954823564119343|0.956675250330714|1.00980922924346
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.773483853453159|0.919384173104415|0.87218814387288|0.862465222037577|0.893090228902939
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.933803184825432|0.909279922378543|0.93257346760708|1.06969049154925|1.1851986117701
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.872260458371762|0.853523264223936|1.01917967910067|0.961475376334341|1.10948215044133
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.461270771781907|0.905765634409965|1.02920936688293|1.04966209622125|1.0039454082288
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.480769262850937|0.849378827588163|0.988417349119415|1.01352782889106|0.922354699706889
PI	10|2|0.4|0.08|0.02	1.03228103225137|0.97793913143442|1.03647144769583|1.09871209620897|1.06141369042101
PI	10|2|0.4|0.08|0.02	0.861126665504723|0.815180428905708|0.843371170683408|1.06073135728669|0.983798296392164
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.387946348776724|0.7390795247701|0.970610014554554|0.940953742781999|1.05257513469346
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.313087061037933|0.50261726629727|0.786981881586483|0.87390795247701|1.04678249513936
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.03678767032519|0.809055791699385|0.985685662124662|1.03874978489923|1.11263763976605
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.860189446909175|0.760509279496496|1.0266052450962|1.00351084008964|1.03953304837839
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.493025576808101|0.527598755290252|0.895657481989213|0.996590072764991|1.06337003752018
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.33317797999865|0.407753857548838|0.684056824797531|0.926069074172587|1.0048316456312
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.45028263948494|0.584442655549454|0.90929413876257|0.949931672504269|1.04031944214909
