#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.236915824446849|0.481069716228856|0.512697236734513|0.888932649231105|1.01632167373703
5Z	10|2|0.4|0.08|0.02	0.240373958807376|0.492779343410753|0.596336058615377|0.852122730149048|0.985462627533714
AK	10|2|0.4|0.08|0.02	0.969370540779105|0.934998323275125|0.906150946353798|1.04877920295823|0.957087406832558
AK	10|2|0.4|0.08|0.02	0.964020439340463|0.879868123340139|0.984249064952853|0.922190971896549|0.997842742479471
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.260047089494907|0.440871796952401|0.526182570604795|0.766907000210712|0.979969296288201
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.257649425385138|0.504368015265477|0.513764973948961|0.702379472225967|0.961735531890111
BI	10|2|0.4|0.08|0.02	1.07079852011294|0.986102096871808|1.04095979055928|1.07302766161961|0.948217645270742
BI	10|2|0.4|0.08|0.02	1.03706016217415|0.963235596158428|0.974792079153693|0.937115753786665|0.932602700711737
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.01846225155582|1.0268395781763|0.921585549822487|0.878595589249382|1.09661650981691
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.976251444918224|0.936497532442235|0.970535753639488|0.890231712986989|0.950687233676512
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.34573270034528|0.474841078708151|0.565993712292512|0.766376506276674|1.0870937227377
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.292953618962572|0.174208041615973|0.544750264439734|0.665137648420938|0.954431038972311
CT	10|2|0.4|0.08|0.02	0.884446680491199|1.07341451143646|1.02086047508522|0.970198806703497|0.990433695676972
CT	10|2|0.4|0.08|0.02	0.527514381876494|1.0206875683672|1.02614373591381|0.962951133439559|0.995947498796257
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.201371445311145|0.283354940171116|0.537867642807493|0.817866563536309|0.986834176406875
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.176270681212844|0.142278778316414|0.484998772971452|0.655276929422089|0.930115906016037
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.989114971396862|1.09048695354002|1.05533342843719|0.983010874558454|1.03393244398143
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.428375674179435|0.995789691353097|1.03299013057585|0.798971831373016|0.974393941971817
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.0770916001895|1.18277591103151|0.887176411629875|0.964993715135433|0.967995114510506
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.452296645607578|1.12922722181601|0.984387793944074|0.979184638093126|0.999920583410696
