#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.122597769429225|0.492930744525005|0.610424403100871|0.741087163223147|0.903885999931863
5Z	10|2|0.4|0.08|0.02	0.117815762658845|0.455219789579313|0.639104055104575|0.657191438225702|0.89474319942269
5Z	10|2|0.4|0.08|0.02	0.149125938637202|0.477498207476697|0.539575014475188|0.531210905741775|0.765981957765451
5Z	10|2|0.4|0.08|0.02	0.131857714150284|0.44029772387041|0.525294828832775|0.698277077602009|0.917951933375134
AK	10|2|0.4|0.08|0.02	1.07974300393148|1.02271910190544|0.978278265508483|1.05770814246118|0.958145360501931
AK	10|2|0.4|0.08|0.02	1.01956463752653|1.01239750890092|1.1760121539657|1.0746633884978|1.02937594952857
AK	10|2|0.4|0.08|0.02	1.00611507105953|1.08615839468407|1.03463840873498|1.05092574974752|0.832176573042753
AK	10|2|0.4|0.08|0.02	1.03641819006777|0.986244749205977|1.02685186540404|1.03119593694656|1.05009440451971
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0329864797904721|0.438785819546066|0.539933203343694|0.637103676390149|0.81262830041764
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0362297856457975|0.462441359871812|0.605030985154154|0.637991724421964|0.929812029833266
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0228406650346184|0.446624513764775|0.538984425453945|0.650183980896024|0.715461904690386
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.045705360227085|0.432747097607497|0.547791478305273|0.552201012270399|0.699289608458616
BI	10|2|0.4|0.08|0.02	0.980949682494708|1.17625960432674|1.01507025117085|1.18631310521842|0.978496308271805
BI	10|2|0.4|0.08|0.02	1.2021267021117|1.08847147452458|1.044804080068|0.938108968482808|1.03603060051001
BI	10|2|0.4|0.08|0.02	1.01328745258183|1.00853354338979|1.07781071426104|1.04034604036677|1.07431437988433
BI	10|2|0.4|0.08|0.02	1.11202780484097|1.19129647671759|1.03414108331088|1.18829764446563|1.00336504909379
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.630665748704672|1.07133922251205|1.00452193250394|1.0061122046926|1.01666230311493
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.667823815942155|1.0804800553363|1.10115359378889|1.04076203774634|1.10039078030002
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.623080153381202|1.0103883408257|1.10814476211457|1.13312083932837|1.12144514281387
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.663738563531347|1.20101336233899|1.12677355619962|1.07497642142656|1.11695660854061
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.179626686162453|0.47646308148738|0.541778315942701|0.671442699034893|0.849437483476995
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.213988008786159|0.473734541810954|0.555682118600089|0.640945719684978|0.802621486923571
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.152395476610317|0.508534119457248|0.583982952185783|0.665137083761685|0.91137723735541
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.18060879215147|0.460808409528802|0.550418365888032|0.601316712168354|0.83467568984416
CT	10|2|0.4|0.08|0.02	0.927672147598002|1.11264661155796|1.05388739365145|0.941572177640402|1.00930075539602
CT	10|2|0.4|0.08|0.02	0.91530830625904|1.06853074080842|1.00052961344413|1.09106563799837|0.979307909823245
CT	10|2|0.4|0.08|0.02	0.847427016551215|0.843202961638501|0.906419783457185|0.938664202634634|0.991380887951543
CT	10|2|0.4|0.08|0.02	0.980736749577744|0.960456485934317|0.922511992655905|0.915407900302704|0.837790891281587
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.175374302712607|0.474236608023009|0.538647987289364|0.651106961856495|0.82779175896181
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.186797638790634|0.442054112980853|0.478504412770942|0.572129379428717|0.701984297261878
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.189722348257541|0.40220716303441|0.542669379271987|0.590173148134596|0.815608213925033
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.162276246651933|0.396938073562344|0.566368572808571|0.639960189101767|0.715694568446936
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.640115317541523|0.969748450742292|1.01808915230024|0.973596658880159|0.9189109184862
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.673706699614536|1.15323976653346|0.934290880776334|1.05189932881587|1.01255493992806
