protein	TP53
complex	g-secretase
protein	FGFR2
protein	DDB2
protein	AKT1
protein	CSNK2A1
complex	ULK1/Atg13/Fip200
protein	SHC1
protein	IL2RG
protein	IL7R
protein	DVL3
protein	BMP7
protein	AURKB
protein	MAPK3
protein	FOXO1
protein	ACVR1
complex	RBPJ/NOTCH
protein	BMPR2
protein	PIPP
protein	DLX5
protein	WNT3A
protein	PTPN1
protein	PHLPP1
protein	calcium ion
protein	PDPK1
protein	PRKACA
protein	JAK2
protein	TGFB1
protein	PIM1
protein	NME1
protein	PDGFRB
protein	PIP5K1A
protein	CSNK1E
protein	PAK1
protein	CTNNB1
protein	CDK2
protein	MARK3
protein	CDK5
protein	MAPK1
protein	PTPN6
family	JNK
protein	FNTA
protein	ITCH
protein	MAPK11
family	14-3-3
protein	CDK1
protein	MRE11
protein	CSNK1D
protein	MAPK8
protein	PTPN12
protein	MAP3K1
protein	MAPK14
protein	NBN
protein	GNB3
protein	PPP1R15A
protein	inositol 1,4,5-trisphosphate
protein	WNT2
protein	IFNG
protein	WNT16
protein	MAML1
protein	WNT2B
protein	LYN
protein	WNT3
protein	MAPK8IP1
protein	PRKCH
protein	WNT9B
protein	WWTR1
protein	TRAF2
protein	PTK7
protein	PRKCA
protein	FOXO3
protein	PAX3
protein	PRKDC
protein	SRC
protein	YAP1
protein	PRKAA1
protein	WNT10B
protein	CDK3
protein	CDC25A
protein	CHUK
protein	SPAG9
protein	PLK1
protein	AKT2
protein	MAPK13
protein	PPP2CA
protein	CDH2
protein	PRKCD
protein	LCK
protein	AURKA
protein	RPS6KA1
protein	PTPN11
protein	CSNK1A1L
protein	FZD2
protein	TTK
protein	ABL1
protein	JAG2
protein	PIM2
protein	GSK3A
protein	INS
protein	NEK2
protein	CHEK2
protein	PTPN7
protein	GSK3B
family	AKT
protein	PRKCG
protein	PPP1CA
protein	PRKCB
protein	ARAF
protein	RPA2
protein	WNT5B
protein	FOXL2
protein	DVL2
protein	EPHA2
protein	PRKAA2
protein	CDC25C
protein	TEAD1
protein	EGFR
family	ERK1/2
protein	NCOR2
protein	NR3C1
protein	CDKN2A
protein	CD40
protein	NCSTN
protein	CDC7
protein	MTOR
protein	CAMK2G
protein	RARG
protein	THRA
protein	DDX5
protein	ETV2
protein	FYN
protein	KLF4
protein	MAPK12
protein	PPARG
protein	SMO
protein	CBL
protein	SIAH1
protein	NR0B2
protein	RUNX2
protein	RBPJ
protein	NTRK1
protein	CDK8
protein	NR2F2
protein	FGF2
protein	CCNC
protein	CCNT1
protein	CDK9
protein	IL17A
protein	CHEK1
protein	STK4
protein	HOXA9
protein	AGTR1
protein	PTPRF
protein	GRK2
protein	NRAS
complex	CyclinB/CDK1
protein	MAP2K7
protein	FHIT
protein	IL1B
protein	CREB1
protein	LRIG1
protein	ATM
protein	STAT6
protein	E2F1
protein	DTX1
protein	BMP2
protein	CXCL1
protein	F2R
protein	ATR
protein	MAP3K5
protein	PKM
protein	JAK1
protein	USF1
protein	PIAS1
protein	CSK
protein	HABP4
protein	KLF3
protein	MAPK10
protein	SOX9
protein	CTNND1
protein	ESR1
protein	GNB1
protein	GNB2
protein	IL10RA
protein	GNG12
protein	GNGT1
protein	KLF2
protein	RARA
protein	PTGER2
protein	ADAM17
protein	SMAD7
protein	MAPKAPK2
protein	PRKCE
protein	EP300
protein	DAXX
protein	TAOK1
protein	SMAD3
protein	MYC
protein	CCNE1
protein	RPS6KA3
protein	BMX
protein	HDAC1
protein	MAPK9
protein	NEK11
protein	SHH
protein	LRRK2
protein	NF2
protein	BAZ1B
protein	NGF
protein	GLI3
protein	SDC4
protein	HDAC3
protein	CDKN2AIP
protein	PRKCZ
protein	KHSRP
protein	IL6ST
protein	MAP2K6
protein	ATG13
protein	MDC1
protein	MDM4
protein	LIF
protein	LIFR
protein	PDGFRA
protein	TAB1
protein	YWHAB
protein	TAB2
protein	TAB3
protein	MAP3K11
protein	AREG
protein	GNA12
protein	TLR4
protein	NFIL3
protein	EIF2AK2
protein	TBK1
protein	BIRC3
protein	ROCK1
protein	NLK
protein	PPP2CB
protein	MAP2K1
protein	H2AFX
protein	APAF1
protein	SRPK2
protein	CDK4
protein	RXRB
protein	TGFBR2
protein	MAPK8IP3
protein	IL22RA1
protein	TYK2
protein	IL6
protein	PSEN1
protein	NTRK2
protein	DUSP1
protein	BIK
protein	CDKN1A
protein	CYCS
protein	MTSS1
protein	PELI3
protein	ARFGAP1
protein	DLK1
protein	NFATC2
protein	RB1
protein	FADD
protein	DAPK1
protein	STK11
protein	GNAT1
protein	MUSK
protein	TBX2
protein	AKT3
protein	FAS
protein	NFKBIA
protein	VEGFA
protein	CASP3
protein	TRADD
protein	TBX3
protein	INPPL1
protein	HDAC5
protein	ULK2
protein	ITK
protein	PRMT5
protein	FZD8
protein	IKBKE
complex	CyclinD/CDK4
protein	CREBBP
protein	FGFR1
protein	CSNK2B
protein	MAP2K4
protein	FZD1
protein	SMURF2
protein	EPHA3
protein	STK3
protein	IGF1R
protein	MAPKAPK5
protein	GPER1
protein	GNG2
protein	FOXA1
protein	BMI1
protein	DLL4
protein	DLL1
protein	MAF
protein	BRSK1
protein	FGFR3
